merge,16,16,2,0,16,4,4,0,0,0,0,0,0,0,0,0
spawn,16,16,2,0,16,4,4,0,0,0,0,0,2,0,0,0
merge,32,16,2,0,2,4,4,0,0,0,0,0,0,0,0,0
spawn,32,16,2,0,2,4,4,4,0,0,0,0,0,0,0,0
merge,32,16,2,0,2,8,4,0,0,0,0,0,0,0,0,0
spawn,32,16,2,0,2,8,4,0,2,0,0,0,0,0,0,0
merge,32,16,2,0,4,8,4,0,0,0,0,0,0,0,0,0
spawn,32,16,2,0,4,8,4,0,0,2,0,0,0,0,0,0
merge,32,16,2,0,4,8,4,0,2,0,0,0,0,0,0,0
spawn,32,16,2,0,4,8,4,0,2,0,0,4,0,0,0,0
merge,32,16,2,0,4,8,4,0,2,4,0,0,0,0,0,0
spawn,32,16,2,0,4,8,4,0,2,4,0,0,0,0,2,0
merge,32,16,2,0,4,8,4,0,2,4,0,0,2,0,0,0
spawn,32,16,2,0,4,8,4,2,2,4,0,0,2,0,0,0
merge,32,16,2,2,4,8,4,0,4,4,0,0,0,0,0,0
spawn,32,16,2,2,4,8,4,0,4,4,0,0,2,0,0,0
merge,32,16,2,2,8,8,4,0,2,4,0,0,0,0,0,0
spawn,32,16,2,2,8,8,4,0,2,4,0,0,0,2,0,0
merge,32,16,4,0,16,4,0,0,2,4,0,0,2,0,0,0
spawn,32,16,4,2,16,4,0,0,2,4,0,0,2,0,0,0
merge,32,16,4,2,16,8,0,0,4,0,0,0,0,0,0,0
spawn,32,16,4,2,16,8,0,0,4,0,0,0,2,0,0,0
merge,32,0,0,0,16,0,0,0,4,16,0,0,2,8,4,2
spawn,32,0,2,0,16,0,0,0,4,16,0,0,2,8,4,2
merge,32,16,2,2,16,8,4,0,4,0,0,0,2,0,0,0
spawn,32,16,2,2,16,8,4,4,4,0,0,0,2,0,0,0
merge,32,16,4,0,16,8,8,0,4,0,0,0,2,0,0,0
spawn,32,16,4,0,16,8,8,0,4,0,0,0,2,0,0,2
merge,32,16,4,0,16,16,0,0,4,0,0,0,4,0,0,0
spawn,32,16,4,0,16,16,0,0,4,0,0,0,4,0,0,2
merge,32,16,4,0,32,0,0,0,4,0,0,0,4,2,0,0
spawn,32,16,4,0,32,0,0,0,4,0,0,0,4,2,2,0
merge,64,16,4,0,8,2,2,0,0,0,0,0,0,0,0,0
spawn,64,16,4,0,8,2,2,0,0,4,0,0,0,0,0,0
merge,64,16,4,0,8,4,0,0,4,0,0,0,0,0,0,0
spawn,64,16,4,2,8,4,0,0,4,0,0,0,0,0,0,0
